GeneID,Symbol
1386,ATF2
467,ATF3
468,ATF4
100127952,ATF4P4
643159,ATF4P3
469,ATF4P1
22809,ATF5
22926,ATF6
11016,ATF7
ATHS
471,ATIC
472,ATM
474,ATOH1
475,ATOX1
476,ATP1A1
477,ATP1A2
478,ATP1A3
481,ATP1B1
482,ATP1B2
483,ATP1B3
484,ATP1B3P1
23439,ATP1B4
485,ATP1B1P1
487,ATP2A1
488,ATP2A2
489,ATP2A3
490,ATP2B1
491,ATP2B2
492,ATP2B3
493,ATP2B4
495,ATP4A
496,ATP4B
498,ATP5F1A
442416,ATP5F1AP1
504,ATP5F1AP2
645443,ATP5F1AP3
506,ATP5F1B
507,ATP5F1BP1
509,ATP5F1C
645560,ATP5F1CP1
513,ATP5F1D
514,ATP5F1E
23744,ATP5F1EP1
515,ATP5PB
516,ATP5MC1
517,ATP5MC2
518,ATP5MC3
520,ATP5MC2P1
10476,ATP5PD
521,ATP5ME
522,ATP5PF
9551,ATP5MF
101241877,ATP5MFP1
539,ATP5PO
523,ATP6V1A
525,ATP6V1B1
526,ATP6V1B2
527,ATP6V0C
528,ATP6V1C1
529,ATP6V1E1
729435,ATP6V1E1P3
343515,ATP6V1E1P1
100462844,ATP6V1E1P2
533,ATP6V0B
534,ATP6V1G2
8992,ATP6V0E1
9550,ATP6V1G1
535,ATP6V0A1
50617,ATP6V0A4
537,ATP6AP1
538,ATP7A
540,ATP7B
93974,ATP5IF1
501,ALDH7A1
541,ALDH7A1P1
542,ALDH7A1P2
543,ALDH7A1P3
544,ALDH7A1P4
545,ATR
8455,ATRN
546,ATRX
547,KIF1A
549,AUH
550,AUP1
100188832,AUTS1
551,AVP
552,AVPR1A
553,AVPR1B
554,AVPR2
8312,AXIN1
8313,AXIN2
558,AXL
560,AZF1
563,AZGP1
646282,AZGP1P1
401393,AZGP1P2
566,AZU1
567,B2M
568,B2MR
8708,B3GALT1
8707,B3GALT2
8706,B3GALNT1
8705,B3GALT4
10317,B3GALT5
27087,B3GAT1
135152,B3GAT2
26229,B3GAT3
2683,B4GALT1
8704,B4GALT2
8703,B4GALT3
8702,B4GALT4
9334,B4GALT5
9331,B4GALT6
11285,B4GALT7
570,BAAT
23621,BACE1
25825,BACE2
571,BACH1
572,BAD
573,BAG1
9532,BAG2
9531,BAG3
9530,BAG4
9529,BAG5
574,BAGE
575,ADGRB1
576,ADGRB2
577,ADGRB3
9223,MAGI1
10458,BAIAP2
8938,BAIAP3
578,BAK1
8314,BAP1
579,NKX3-2
580,BARD1
56751,BARHL1
343472,BARHL2
56033,BARX1
8538,BARX2
10409,BASP1
10538,BATF
581,BAX
11177,BAZ1A
9031,BAZ1B
11176,BAZ2A
29994,BAZ2B
8424,BBOX1
582,BBS1
583,BBS2
585,BBS4
129880,BBS5
9564,BCAR1
8412,BCAR3
8537,BCAS1
10286,BCAS2
586,BCAT1
587,BCAT2
56647,BCCIP
590,BCHE
593,BCKDHA
594,BCKDHB
8915,BCL10
596,BCL2
597,BCL2A1
598,BCL2L1
10017,BCL2L10
10018,BCL2L11
599,BCL2L2
600,BAK1P1
601,BAK1P2
602,BCL3
BCL5
604,BCL6
255877,BCL6B
605,BCL7A
9275,BCL7B
9274,BCL7C
606,NBEAP1
607,BCL9
611,OPN1SW
613,BCR
400892,BCRP2
644165,BCRP3
616,BCRP4
648980,BCRP5
617,BCS1L
618,BCYRN1
619,BCYRN1P1
620,BCYRN1P2
622,BDH1
623,BDKRB1
624,BDKRB2
627,BDNF
8678,BECN1
55859,BEX1
629,CFB
631,BFSP1
8419,BFSP2
632,BGLAP
633,BGN
8553,BHLHE40
635,BHMT
23743,BHMT2
636,BICD1
637,BID
638,BIK
274,BIN1
51411,BIN2
55909,BIN3
10904,BLCAP
640,BLK
641,BLM
642,BLMH
643,CXCR5
644,BLVRA
645,BLVRB
8548,BLZF1
648,BMI1
649,BMP1
9210,BMP15
650,BMP2
651,BMP3
652,BMP4
653,BMP5
654,BMP6
655,BMP7
656,BMP8B
657,BMPR1A
658,BMPR1B
659,BMPR2
660,BMX
661,POLR3D
646,BNC1
662,BNIP1
663,BNIP2
664,BNIP3
665,BNIP3L
666,BOK
667,DST
668,FOXL2
669,BPGM
670,BPHL
671,BPI
10380,BPNT1
673,BRAF
8315,BRAP
672,BRCA1
675,BRCA2
23774,BRD1
6046,BRD2
8019,BRD3
676,BRDT
9577,BABAM2
677,ZFP36L1
678,ZFP36L2
25798,BRI3
23397,NCAPH
680,BRS3
682,BSG
8927,BSN
683,BST1
684,BST2
53339,BTBD1
685,BTC
686,BTD
687,KLF9
689,BTF3
690,BTF3P11
652963,BTF3P12
132556,BTF3P13
693,BTF3P1
694,BTG1
7832,BTG2
10950,BTG3
695,BTK
696,BTN1A1
11120,BTN2A1
10385,BTN2A2
11119,BTN3A1
11118,BTN3A2
10384,BTN3A3
56244,BTNL2
10917,BTNL3
8945,BTRC
54099,FBXW11P1
698,BTS1
699,BUB1
701,BUB1B
9184,BUB3
11149,BVES
BVR1
705,BYSL
706,TSPO
56652,TWNK
55165,CEP55
